,id_lattes,titulo,autores,terms
194,5324984796978878,Programação linear na simulação e tomada de decisão em um sistema de produção animal,"MEDEIROS, H. R.; PEDREIRA, C.G.S.","[('programação linear', 'programação linear na simulação e tomada de decisão em um sistema de produção animal')]"
195,5403381522056798,"Análise da respota em regime transitório e permanente de algoritmos para filtragem digital utilizados em relés numéricos: Velocidade de convergência, overshoot e sensibilidade em relação a constante de tempo","MACHADO, T.M.; Cardoso Junior, G.; Peres de Morais, A.; MARIOTTO, Lenois","[('algoritmos', 'análise da respota em regime transitório e permanente de algoritmos para filtragem digital utilizados em relés numéricos: velocidade de convergência, overshoot e sensibilidade em relação a constante de tempo')]"
196,5415046018018708,Algoritmos Genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade,"MENDONÇA, M.; SOUZA, L. B.; SANTOS, M. C.; DALMEDICO, J. F.; KONDO, H. S.","[('algoritmos', 'algoritmos genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade')]"
197,5415046018018708,Algoritmos Genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade,"MENDONÇA, M.; SOUZA, L. B.; SANTOS, M. C.; DALMEDICO, J. F.; KONDO, H. S.","[('algoritmos', 'algoritmos genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade')]"
198,5415046018018708,Algoritmos Genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade,"MENDONÇA, M.; SOUZA, L. B.; SANTOS, M. C.; Dalmedico, J. F.; KONDO, H. S.","[('algoritmos', 'algoritmos genéticos aplicados na cinemática inversa de manipulador robótico com 4 graus de liberdade')]"
199,5479882786360858,Algoritmos PMV-MBPC para conforto térmico em edificações e aplicação em uma célula-teste,"Donaisky, Emerson; OLIVEIRA, Gustavo H. C.; Mendes, Nathan","[('algoritmos', 'algoritmos pmv-mbpc para conforto térmico em edificações e aplicação em uma célula-teste')]"
200,5543223323634478,Metabolômica baseada em RMN de 1H e no método dos mínimos quadrados parciais discriminante,"Baddini Ramos, A.L.Q.; NETTO, ANNIBAL DUARTE PEREIRA; Teixeira, Valéria Laneuville","[('mínimos quadrados', 'metabolômica baseada em rmn de 1h e no método dos mínimos quadrados parciais discriminante')]"
201,5575237386798588,Mineração de texto: Análise comparativa de algoritmos,"SANTOS, B.; Colaço Júnior, Methanias","[('algoritmos', 'mineração de texto: análise comparativa de algoritmos')]"
202,5713468691984238,O uso da programação dinâmica pela contabilidade de custos na otimização de recursos escassos,"RAUPP, F. M.; BERUEN, Ilse Maria; GIBBON, A. R. O.","[('programação dinâmica', 'o uso da programação dinâmica pela contabilidade de custos na otimização de recursos escassos')]"
203,5713468691984238,Seleção de investimentos com otimização de recursos escassos através de um modelo de integração entre a programação dinâmica e o EVA,"RAUPP, F. M.; BEUREN, Ilse Maria","[('programação dinâmica', 'seleção de investimentos com otimização de recursos escassos através de um modelo de integração entre a programação dinâmica e o eva')]"
204,5713468691984238,Análise de restrições produtivas por meio do custeio baseado em atividades e da programação dinâmica,"RAUPP, F. M.","[('programação dinâmica', 'análise de restrições produtivas por meio do custeio baseado em atividades e da programação dinâmica')]"
205,6019946865210218,Una comparación entre métodos estadísticos clásicos y técnicas metaheurísticas en el modelamiento estadístico,"Dominguez C. Andres H.; COLLAZOS, J. A. A.; OCAMPO, E. M. T.","[('metaheurísticas', 'una comparación entre métodos estadísticos clásicos y técnicas metaheurísticas en el modelamiento estadístico')]"
206,6226840059250418,Uso da Programação Linear no Planejamento da Produção de Alevinos: Estudo de Caso,"HERMES, César Ademar; SILVA, Luiz César da; SOUZA, Samuel Nelson Melegari de","[('programação linear', 'uso da programação linear no planejamento da produção de alevinos: estudo de caso')]"
207,6361473524695838,Ajustamento de observações: uma interpretação geométrica para o método dos mínimos quadrados,"KLEIN, I.; MATSUOKA, M. T.; Souza, S. F.; VERONEZ, M. R.","[('mínimos quadrados', 'ajustamento de observações: uma interpretação geométrica para o método dos mínimos quadrados')]"
208,6430129533142328,Algoritmos em processamento de imagens de medicina nuclear,"OLIVEIRA, V. A.","[('algoritmos', 'algoritmos em processamento de imagens de medicina nuclear')]"
209,6517814177605848,Aplicação da programação dinâmica na substituição de equipamentos.,"MARQUES, G. M.; SILVA, Márcio Lopes da; Hélio Garcia Leite; Alessandro Albino Fontes","[('programação dinâmica', 'aplicação da programação dinâmica na substituição de equipamentos.')]"
210,6623293266590478,Desenvolvimento de sistema web para prática e gestão de exercícios de algoritmos,"SOUZA, A. L.; ANJO, L. F. R. S.; VIANA, A. F. L. C.; MURTA, C. A. R.","[('algoritmos', 'desenvolvimento de sistema web para prática e gestão de exercícios de algoritmos')]"
211,6766556258983738,Arquitetura para Armazenamento de Dados de Histórico de Processos Petroquímicos Utilizando como Técnicas de Compressão os Algoritmos Swing Doors e Boxcar Backslope,"NETO, Edson.; GUEDES, L. A.; LEITÃO, G. B. P.","[('algoritmos', 'arquitetura para armazenamento de dados de histórico de processos petroquímicos utilizando como técnicas de compressão os algoritmos swing doors e boxcar backslope')]"
212,6800442072685268,Governo dos algoritmos,"SILVEIRA, Sérgio Amadeu","[('algoritmos', 'governo dos algoritmos')]"
213,6893941321946438,Aplicação de Algoritmos Genéticos em Projetos de Pequenos Circuitos Elétricos,"LIMA, W.; CABRAL, V. A.; SILVA JUNIOR, IVO CHAVES","[('algoritmos', 'aplicação de algoritmos genéticos em projetos de pequenos circuitos elétricos')]"
214,6903653527541008,"Calibração de Modelo de Fluxo Subsuperficial em Escala Menor Adotando os Algoritmos NSGA II, PADDS E MOPSO","AGUERO-MARTINEZ, DOMINGO; MURARI, THIAGO; OLIVEIRA, FRANCISCO; MORET, MARCELO","[('algoritmos', 'calibração de modelo de fluxo subsuperficial em escala menor adotando os algoritmos nsga ii, padds e mopso')]"
215,6978567037098928,Mineração de Regras para Classificação de Oncogenes Medidos por Microarray Utilizando Algoritmos Genéticos,"AMARAL, Laurence Rodrigues Do; OLIVEIRA, Gina Maira Barbosa","[('algoritmos', 'mineração de regras para classificação de oncogenes medidos por microarray utilizando algoritmos genéticos')]"
216,7114412735990678,Usando algoritmos e ábaco no estudo do sistema de numeração decimal em um curso de Pedagogia,"VIEGAS, ELIS REGINA DOS SANTOS; SERRA, H.","[('algoritmos', 'usando algoritmos e ábaco no estudo do sistema de numeração decimal em um curso de pedagogia')]"
217,7180879644760038,Método dos Mínimos Quadrados com Regressão Wavelets para Redução de Erros no Processamento de Sinais GPS,"Souza, E M; MONICO, J F G","[('mínimos quadrados', 'método dos mínimos quadrados com regressão wavelets para redução de erros no processamento de sinais gps')]"
218,7222237836912088,Modelagem de Equações Estruturais com Mínimos Quadrados Parciais: um Exemplo daAplicação do SmartPLS® em Pesquisas em Contabilidade,"NASCIMENTO, J. C. H. B.; MACEDO, M. A. S.","[('mínimos quadrados', 'modelagem de equações estruturais com mínimos quadrados parciais: um exemplo daaplicação do smartpls® em pesquisas em contabilidade')]"
219,7266011798625538,Uma Classe de Algoritmos Aproximativos Decrescentes para o Problema Bin-Packing,"ALOISE, D. J.; MACULAN FILHO,","[('algoritmos', 'uma classe de algoritmos aproximativos decrescentes para o problema bin-packing')]"
220,7266011798625538,Uma Abordagem sobre Estratégias Metaheurísticas,"NORONHA, Thiago Ferreira de; SILVA, M. M.; ALOISE, D. J.","[('metaheurísticas', 'uma abordagem sobre estratégias metaheurísticas')]"
