ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
1911899537342394	Controles Parlamentares e os Militares no Brasil: Audiências Públicas e Requerimentos de Informação, 1995 - 2004	2005	Capítulo de livro publicado	Instrumentos de Controle Parlamentar na Alemnha, na Argentina e no Brasil	113	139	857504088X	Fundação Konrad Adenauer Stiftung	['relações civis-militares', 'Congresso', 'democratização', 'relações Executivo-Legislativo']
1911899537342394	O Álcool combustível e a pecuária de Corte: Fragmentação e Porosidade no Estado Burocrático-Autoritário	1989	Capítulo de livro publicado	O Estado e as Políticas Públicas na Transição Democrática	7	396	8571150427	Ed. REvista dos Tribunais, Edições Vértice	[]
1911899537342394	Controles Parlamentarios y los Militares en Brasil: Audiencias Publicas y Requerimientos de Información, 1995-2004	2006	Capítulo de livro publicado	El Control Parlamentário en Alemania, Argentina y Brasil				Homo Sapiens/ Konrad Adenauer Stiftung	[]
1920255833804512	Chile: um país em movimento	2007	Capítulo de livro publicado	Agenda sul-americana : mudanças e desafios no início do Século XXI	37	67	9788576310	Fundação Alexandre Gusmão	[]
1920255833804512	Brazilian Economy	2019	Capítulo de livro publicado	South America, Central America and the Caribbean 2020	0	10	9780367175320	Routledge	[]
2142163449017349	Automated Design Assistance for Self-Help Housing in Campinas, Brazil	2001	Capítulo de livro publicado	Cultural and Spatial Diversity in the Urban Environment	67	71	9758599046	YEM Yayin	['auto-construção', 'Automação', 'habitação']
2142163449017349	Transferência de Inovação Tecnológica na Autoconstrução de Moradias, Brasil	2003	Capítulo de livro publicado	Inovação, Gestão da Qualidade & Produtividade e Disseminação do Conhecimento na Construção Habitacional	95	139	85.89478-0	Antac	[]
2142163449017349	Transfer Process of Self-Built Houses in Environmental Protection Areas in the Region of Campins, Brazil	2004	Capítulo de livro publicado	Housing, Space and Quality of Life	41	58	0-75464255	Ashgate Publishers Limited	['Áreas de Proteção Ambiental', 'Autoconstrução', 'Apoio técnico']
2142163449017349	Environmental Comfort and School Buildings: The Case of Campinas	2003	Capítulo de livro publicado	Culture, Environmental Action and Sustainability	325	333	0-88937-28	Jopgrefe & Huber	['ambiente escolar', 'Avaliação Pós Ocupação APO', 'Conforto Ambiental', 'prédios escolares']
2142163449017349	Tradition of Self-Built Houses, Cultural Significance and Environmental Quality of Building elements: the case of Campinas, Brazil	2002	Capítulo de livro publicado	Traditional Environments in a New Millenium	390	395	975-585028	IAPS-CSBE Network Book Series	['Autoconstrução', 'Arquitetura Vernacular', 'Tradição', 'Conforto Ambiental']
2142163449017349	Análise de Parâmetros de Implantação de Conjuntos Habitacionais de Interesse Social: ênfase nos aspectos de Sustentabilidade Ambiental e da Qualidade de Vida	2006	Capítulo de livro publicado	Coletânea Habitare - Ambiente Construído Construção e Meio Ambiente	128	167	8589478149	ANTAC	['Avaliação Pós Ocupação APO', 'Conjuntos Habitacionais de Interesse Social', 'Implantação', 'Qualidade de Vida', 'Sustentabilidade']
2142163449017349	Os pátios e as áreas livres no processo de projeto de arquitetura escolar no Estado de São Paulo	2011	Capítulo de livro publicado	O lugar do pátio escolar no sistema de espaços livres: uso, forma e apropriação	159	181	9788588341357	Coleção PROARQ/UFRJ	['Arquitetura escolar', 'Espaços Abertos', 'Processo de projeto arquitetônico', 'prédios escolares']
2142163449017349	A criatividade no processo de projeto	2011	Capítulo de livro publicado	O processo de projeto em arquitetura: da teoria a tecnologia	21	56	9788579750	Oficina de Textos	['Criatividade', 'metodologia de projeto', 'Processo Criativo', 'Processo de projeto arquitetônico']
2142163449017349	O programa arquitetônico	2011	Capítulo de livro publicado	O processo de projeto em arquitetura: da teoria a tecnologia	101	108	9788579750	Oficina de Textos	['metodologia de projeto', 'Processo de projeto arquitetônico', 'programa de necessidades']
2142163449017349	Arquitetura escolar e seu processo de projeto	2011	Capítulo de livro publicado	O processo de projeto em arquitetura: da teoria a tecnologia	273	292	9788579750	Oficina de Textos	['ambiente escolar', 'Arquitetura escolar', 'metodologia de projeto', 'prédios escolares', 'Processo de projeto arquitetônico']
2142163449017349	O projeto axiomatico	2011	Capítulo de livro publicado	O processo de projeto em arquitetura: da teoria a tecnologia	151	180	9788579750	Oficina de Textos	['metodologia axiomática', 'metodologia de projeto', 'Processo de projeto arquitetônico', 'Conforto Ambiental']
