ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
3851480345390580	Parcerias e Pobreza: Soluções Locais na Implementação de Políticas Sociais	2000	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		151		1		Editora Fundação Getulio Vargas	[]
3851480345390580	Dez Experiências de Alianças para a Rdução da Pobreza	1999	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		244		1			[]
3851480345390580	Reforma do Estado e Administração Pública Gerencial	1998	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO		316	8522502366			Editora da Fundação Getulio Vargas	[]
3851480345390580	Estratégias Locais para a Redução da Pobreza: Construindo a Cidadania	2000	LIVRO_PUBLICADO	NAO_INFORMADO						FGV/EAESP	[]
3851480345390580	Parcerias e Alianças com Organizações Não-Estatais	2001	LIVRO_PUBLICADO	TEXTO_INTEGRAL						Polis/Programa Gestão Pública e Cidadania	[]
3851480345390580	Redução da Pobreza e Dinâmicas Locais	2001	LIVRO_PUBLICADO	TEXTO_INTEGRAL						Editora da Fundação Getulio Vargas	[]
3851480345390580	Histórias de um Brasil que Funciona: Ciclo de Premiação	2001	LIVRO_PUBLICADO	TEXTO_INTEGRAL						FGV/EAESP/Gestão Pública e Cidadania	[]
3851480345390580	Reforming the Reformers: The Saga of Public Administration Reform in Latin America 1925 - 1995	2001	LIVRO_PUBLICADO	TEXTO_INTEGRAL						Swedish International Development Cooperation Agency, Sida, DO 790, Elander Novum, AB	[]
3851480345390580	Redução da pobreza e dinâmicas locais	2002	LIVRO_PUBLICADO	OUTRA	1	325	8-52-25035	2		EDITORA FUNDAÇÃO GETULIO VARGAS	[]
3851480345390580	Novos Contornos da Gestão Local: Conceitos em Construção	2002	LIVRO_PUBLICADO	COLETANEA	1	336		1		Instituto Polis/Programa Gestão Pública e Cidaddania - EAESP/FGV	[]
3851480345390580	Cadernos Gestão Pública e Cidadania - A Administração Pública Brasileira Inovando a Forma de Governar	2002	LIVRO_PUBLICADO	COLETANEA	1	280		1		Editora Fundação Getúlio Vargas	[]
