ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1805029396938951	Understanding social protection systems in Latin America and the Caribbean: Typologies and efforts of classification	2018	10.1111/soc4.12634	Sociology Compass	17519020	12		11	e12634		['Políticas Sociais Comparadas', 'Políticas Sociais', 'Welfare State', 'Estados de Bem Estar Social Emergentes', 'América Latina']	STEFFEN, MARIANA WILLMERSDORF; CÔRTES, SORAYA VARGAS	2
1805029396938951	A sociologia no contexto do sistema de pós-graduação brasileiro - Editorial	2018		REVISTA BRASILEIRA DE SOCIOLOGIA	23178507	6		13	5	7	['Pós-Graduação em Sociologia', 'Pós-Graduação no Brasil', 'Avaliação da Pós-Gradução']	CORTES, S. M. V.	1
1805029396938951	A sociologia fora do eixo: diversidades regionais e campo da pós-graduação no Brasil	2018		REVISTA BRASILEIRA DE SOCIOLOGIA	23178507	6		13	76	103	['Pós-Graduação em Sociologia', 'Pós-Graduação no Brasil', 'Avaliação da Pós-Gradução']	BARREIRA, I.; CORTES, S. M. V.; LIMA, JACOB CARLOS	3
1805029396938951	Sociologies in Dialogue - Editorial	2017		SOCIOLOGIES IN DIALOGUE	24472670	3		1	2	3	['BRICS', 'Educação']	CORTES, S. M. V.	1
1805029396938951	Construindo a possibilidade da participação dos usuários: conselhos e conferências no Sistema Único de Saúde	2002		Sociologias (UFRGS)	15174522	7			18	49	['Conselhos de Saúde', 'Conferências de Saúde', 'Conselhos de Políticas Públicas']	CORTES, S. M. V.	1
1911899537342394	Governabilidade, governanca e democracia: criação de capacidade governativa e relacoes executivo/legislativo no Brasil	1997		Dados (Rio de Janeiro. Impresso)	00115258	40	3		335	376	['governabilidade', 'Governança', 'democracia', 'relações Executivo-Legislativo']	CASTRO SANTOS, M. H.	1
1911899537342394	Escola de governo e profissionalização do funcionário público	1995		Revista do Serviço Público (Brasília)	00349240	119	jan/abr				[]	CASTRO SANTOS, M. H.; BRITO, M.	2
1911899537342394	Profissionalização dos Quadros Superiores da Administração Pública: O Caso dos Especialistas em Políticas Públicas e Gestão governamental	1994		Revista do Serviço Público (Brasília)	00349240	118	junho	1992			[]	CASTRO SANTOS, M. H.; PINHEIRO, M. L. M.; MACHADO, Érica Mássimo	3
1911899537342394	Governabilidade e os Poderes constituídos: Uma Agenda Preliminar	1994		Revista do Serviço Público	00349240	118	jul-ago		155	183	[]	CASTRO SANTOS, M. H.; RUA, Maria das Graças; MACHADO, Érica Mássimo	3
1911899537342394	Avaliação Político-Institucional do Proálcool:Grupos de Interesse e conflito Interburocrático	1989		Planejamento e Políticas Públicas (IPEA)	01034138	1	1		127	150	[]	CASTRO SANTOS, M. H.	1
1911899537342394	O Álcool e a Pecuária de corte: Fragmentácão e Porosidade no Estado Burocrático-Autoritário	1988		REVISTA BRASILEIRA DE CIÊNCIAS SOCIAIS (IMPRESSO)	01026909	3	7		69	83	[]	PAIXÃO, A. L.; CASTRO SANTOS, M. H.	2
1911899537342394	Fragmentação e Informalismo na tomada de Decisão: O Caso da Política do Álcool combustível	1987		Dados (Rio de Janeiro)	00115258	41	2		73	94	[]	CASTRO SANTOS, M. H.	1
1911899537342394	Política Comparada: Estado das Artes e Perspectivas no Brasil	2002		BIB Revista Brasileira de Informacao Bibliografica em Ciencias Sociais	0100199X	NA	nº 54		5	42	['Política Comparada - Brasil', 'Inovação Conceitual']	CASTRO SANTOS, M. H.; COUTINHO, M.	2
